"","Date","Baseline","Flux_SZegvary","Flux_Fit"
"989",2022-08-08 21:00:00,65.0743151760071,79.6989436001271,82.8830297870422
"990",2022-08-08 22:00:00,65.0961456277409,79.7206648996022,82.9376059163767
"991",2022-08-08 23:00:00,65.1186633035892,79.7430699870712,82.9939001059974
"992",2022-08-09 00:00:00,65.1421921918117,79.7664812308526,83.0527223265536
"993",2022-08-09 01:00:00,65.1668490127162,79.7910147676527,83.114364378815
"994",2022-08-09 02:00:00,65.1925328031065,79.816570139091,83.1785738547907
"995",2022-08-09 03:00:00,65.2191784296494,79.8430825375011,83.2451879211478
"996",2022-08-09 04:00:00,65.2468873746066,79.8706529377336,83.314460283541
"997",2022-08-09 05:00:00,65.2759459392589,79.8995662095626,83.3871066951717
"998",2022-08-09 06:00:00,65.3066164326676,79.9300833505042,83.4637829286933
"999",2022-08-09 07:00:00,65.339281284614,79.9625848781909,83.5454450585593
"1000",2022-08-09 08:00:00,65.3744611198386,79.9975888142394,83.633394646621
"1001",2022-08-09 09:00:00,65.412668229036,80.0356048878908,83.7289124196143
"1002",2022-08-09 10:00:00,65.4539601716024,80.0766903707444,83.8321422760304
"1003",2022-08-09 11:00:00,65.4982990832938,80.1208075878774,83.942989555259
"1004",2022-08-09 12:00:00,65.5457324293866,80.1680037672396,84.0615729204908
"1005",2022-08-09 13:00:00,65.5962535346395,80.2182722669663,84.1878756836231
"1006",2022-08-09 14:00:00,65.6496283757806,80.2713802339017,84.3213127864759
"1007",2022-08-09 15:00:00,65.7052606900927,80.3267343866422,84.460393572256
"1008",2022-08-09 16:00:00,65.7623371737993,80.3835254879303,84.6030847815227
"1009",2022-08-09 17:00:00,65.8199531321806,80.4408533665197,84.747124677476
"1010",2022-08-09 18:00:00,65.8772292275698,80.497843081432,84.890314915949
"1011",2022-08-09 19:00:00,65.9332624812309,80.5535961688247,85.0303980501015
"1012",2022-08-09 20:00:00,65.987236302731,80.6073001212174,85.165332603852
"1013",2022-08-09 21:00:00,66.0387995040475,80.6586055065273,85.2942406071432
"1014",2022-08-09 22:00:00,66.0881714472065,80.7077305899705,85.4176704650408
