Time,Radon,Error,Radon* (fast),Error
28/10/2021 8:40,439,61,0,0
28/10/2021 9:10,276,75,0,0
28/10/2021 9:40,0,0,0,0
28/10/2021 10:10,340,58,207,100
28/10/2021 10:40,340,58,413,71
28/10/2021 11:10,0,0,0,0
28/10/2021 11:40,227,71,413,71
28/10/2021 12:10,390,60,504,75
28/10/2021 12:40,227,71,413,71
28/10/2021 13:10,0,0,0,0
28/10/2021 13:40,453,50,827,50
28/10/2021 14:10,276,75,504,75
28/10/2021 14:40,567,45,413,71
28/10/2021 15:10,567,45,413,71
28/10/2021 15:40,907,35,1447,38
28/10/2021 16:10,680,41,207,100
28/10/2021 16:40,503,52,504,75
28/10/2021 17:10,340,58,413,71
